,datetime,ask,bid
1273,2023-07-19 15:16:05.294014,1.2952,1.29507
1274,2023-07-19 15:16:05.372706,1.2952,1.29507
1275,2023-07-19 15:16:05.441107,1.2952,1.29507
1276,2023-07-19 15:16:05.497018,1.2952,1.29507
1277,2023-07-19 15:16:05.576053,1.2952,1.29507
1278,2023-07-19 15:16:05.638540,1.2952,1.29507
1279,2023-07-19 15:16:05.700188,1.2952,1.29507
1280,2023-07-19 15:16:05.783878,1.2952,1.29507
1281,2023-07-19 15:16:05.860649,1.2952,1.29507
1282,2023-07-19 15:16:05.919596,1.2952,1.29507
1283,2023-07-19 15:16:06.011558,1.2952,1.29507
1284,2023-07-19 15:16:06.075104,1.2952,1.29507
1285,2023-07-19 15:16:06.138114,1.2952,1.29507
1286,2023-07-19 15:16:06.200672,1.2952,1.29507
1287,2023-07-19 15:16:06.279109,1.2952,1.29507
1288,2023-07-19 15:16:06.341092,1.2952,1.29507
1289,2023-07-19 15:16:06.421385,1.2952,1.29507
1290,2023-07-19 15:16:06.482325,1.2952,1.29507
